repo_key,owner,repository,language,deployment_label,deployment_ready,stars,forks,watchers,total_commits,total_issues,total_prs,total_files,size,open_issues,repository_age_days,last_update_days,has_license,has_description,bug_fix_ratio,feature_commit_ratio,refactor_commit_ratio,documentation_commit_ratio,average_commit_length,average_commit_words,author_diversity,commit_frequency,days_since_last_commit,closed_issue_ratio,bug_issue_ratio,average_issue_comments,stale_issue_ratio,merged_pr_ratio,source_code_ratio,documentation_ratio,config_ratio,test_ratio,binary_ratio,has_ci_cd,has_dockerfile,has_contributing_guide,dependency_file_count,max_directory_depth,weekend_commit_ratio,night_commit_ratio,average_issue_resolution_days,average_merge_days,language_diversity,average_directory_depth,average_file_size
langgenius_dify,langgenius,dify,TypeScript,Needs Improvements,1,148776,23431,148776,30,20,20,100,425249,937,1189,0,1,1,0.3333,0.1,0.0333,0.0333,89.1333,8.5667,10,0.0252,0,0.3,0.95,0.75,0.0,0.6,0.0,0.03,0.04,0.1,0.01,1,1,0,0,4,0.0,0.5,0.0,0.0,1,2.03,3172.74
EKA2L1_EKA2L1,EKA2L1,EKA2L1,C++,Not Ready,0,1977,169,1977,30,20,20,100,134750,141,3036,0,1,1,0.3,0.2667,0.1667,0.0,98.0667,12.7333,5,0.0099,827,0.0,0.4,0.3,0.95,0.7,0.05,0.04,0.03,0.1,0.03,1,0,0,0,4,0.4667,0.4333,0.0,29.1429,3,2.24,10633.15
juicedata_juicefs-csi-driver,juicedata,juicefs-csi-driver,Go,Production Ready,1,300,113,300,30,20,20,100,14735,51,2559,1,1,1,0.5667,0.3,0.1333,0.1333,132.5,14.4667,5,0.0117,6,0.6,0.65,0.8,0.125,0.8,0.16,0.03,0.05,0.04,0.09,1,0,0,1,4,0.0,0.4,15.75,3.0625,7,2.13,7664.14
shadcn-ui_ui,shadcn-ui,ui,TypeScript,Production Ready,1,119063,9492,119063,30,20,20,100,67160,2108,1286,0,1,1,0.4333,0.5667,0.0667,0.1333,267.7,34.8,16,0.0233,0,0.25,0.95,0.6,0.0,0.1,0.14,0.04,0.03,0.04,0.0,1,0,1,0,7,0.0,0.0667,2.8,0.0,3,3.96,2477.93
grpc_grpc,grpc,grpc,C++,Not Ready,0,45200,11332,45200,30,20,20,100,618489,1355,4235,0,1,1,0.1667,0.5667,0.0667,0.0,398.6667,45.5,16,0.0071,0,0.35,0.85,1.6,0.0,0.0,0.03,0.03,0.05,0.06,0.0,1,0,1,1,3,0.0667,0.1,6.0,0.0,2,0.8,31953.84
ngVue_ngVue,ngVue,ngVue,JavaScript,Needs Improvements,1,300,59,300,30,20,20,71,1116,11,3621,125,1,1,0.1,0.2667,0.0333,0.0667,171.5333,12.5667,3,0.0083,977,0.65,0.6,2.15,1.0,0.6,0.3662,0.0845,0.0423,0.2535,0.0,1,0,0,1,3,0.0667,0.1333,202.0,2.1667,3,1.6056,6362.0845
supabase_supabase,supabase,supabase,TypeScript,Production Ready,1,106335,13209,106335,30,20,20,100,2407381,1089,2467,0,1,1,0.7333,0.7,0.5667,0.2667,1272.4,165.6667,20,0.0122,0,0.5,0.9,1.65,0.0,0.45,0.0,0.03,0.0,0.31,0.0,1,0,0,0,4,0.0667,0.2333,0.3,0.0,1,2.59,3215.81
boxerprogrammer_directx12_samples,boxerprogrammer,directx12_samples,C++,Not Ready,0,299,74,299,30,20,6,100,3592,25,2659,10,1,1,0.0667,0.0667,0.0333,0.0333,43.0667,3.1333,5,0.0113,870,0.0,0.05,0.2,1.0,1.0,0.33,0.0,0.01,0.0,0.0,0,0,0,0,3,0.3667,0.2333,0.0,154.5,1,2.04,5197.5
pubkey_broadcast-channel,pubkey,broadcast-channel,JavaScript,Not Ready,0,1994,132,1994,30,0,20,100,4550,12,2962,3,1,1,0.1333,0.0333,0.0,0.0,127.6333,9.9,3,0.0101,4,0.0,0.0,0.0,0.0,0.75,0.69,0.17,0.03,0.0,0.04,1,0,0,2,3,0.2,0.2667,0.0,0.0,2,1.87,33362.94
sebastianbergmann_phpunit,sebastianbergmann,phpunit,PHP,Needs Improvements,1,20038,2224,20038,30,20,20,100,232980,21,6045,0,1,1,0.1,0.0,0.1333,0.0,85.7667,11.5667,2,0.005,0,1.0,0.65,0.85,0.0,0.85,0.22,0.07,0.04,0.05,0.09,1,0,1,3,7,0.6667,0.3333,0.6,0.1176,1,2.08,7748.79
fede1024_rust-rdkafka,fede1024,rust-rdkafka,Rust,Needs Improvements,1,1984,355,1984,30,20,20,78,15222,152,3544,0,1,1,0.3667,0.4,0.0333,0.3,1024.4333,134.9,20,0.0085,29,0.1,0.75,1.35,0.9444,0.3,0.4615,0.0769,0.0641,0.2949,0.0,1,0,1,2,3,0.5667,0.0,0.5,10.5,3,1.2179,12231.8974
weppos_tabs_on_rails,weppos,tabs_on_rails,Ruby,Not Ready,0,297,50,297,30,20,16,30,204,2,6357,39,1,1,0.1,0.0667,0.0333,0.1667,27.7667,4.2667,5,0.0047,358,0.9,0.35,2.05,1.0,0.4375,0.2333,0.0667,0.0333,0.4,0.0,1,0,0,1,3,0.0667,0.0,438.7778,106.2857,1,1.4,1741.5667
databendlabs_openraft,databendlabs,openraft,Rust,Production Ready,1,1966,221,1966,30,20,20,100,15558,23,1887,0,1,1,0.5333,0.6,0.1667,0.5,850.1667,117.8667,4,0.0159,0,1.0,0.9,2.95,0.0,1.0,0.0,0.03,0.03,0.0,0.74,1,0,1,1,3,0.5,0.1667,1.0,0.0,0,2.52,2632.23
langflow-ai_langflow,langflow-ai,langflow,Python,Production Ready,1,151855,9676,151855,30,20,20,100,1409611,978,1251,0,1,1,0.8,0.3,0.0,0.1333,806.0667,101.5667,6,0.024,6,0.45,0.75,1.4,0.0,0.2,0.0,0.01,0.03,0.29,0.0,1,1,0,0,4,0.0,0.3333,6.4444,0.0,2,2.31,7708.51
2dust_v2rayN,2dust,v2rayN,C#,Production Ready,1,111313,15519,111313,30,20,20,100,48878,13,2541,0,1,1,0.3333,0.2333,0.1,0.0333,145.0333,17.6333,9,0.0118,0,0.7,1.0,3.35,0.0,0.45,0.45,0.02,0.03,0.2,0.0,1,0,0,0,4,0.3667,0.6,0.3571,0.4444,2,2.32,6293.85
swftools_swftools,swftools,swftools,C,Needs Improvements,1,299,101,299,30,20,20,100,12187,168,4253,5,1,1,0.6,0.2667,0.0,0.0333,187.2,25.7667,10,0.0071,150,0.1,0.85,1.7,0.5,0.65,0.16,0.01,0.07,0.0,0.07,0,0,0,0,3,0.2,0.1,20.0,1.4615,4,1.21,15968.33
numbbo_coco,numbbo,coco,C,Needs Improvements,1,300,91,300,30,20,20,100,284763,206,3992,4,1,1,0.2667,0.3333,0.1,0.2333,53.5,6.9,4,0.0075,216,0.7,0.7,2.25,1.0,0.45,0.25,0.11,0.06,0.04,0.01,1,0,0,2,5,0.1333,0.1333,35.5,3.6667,4,2.94,4638.1
dechamps_FlexASIO,dechamps,FlexASIO,C++,Not Ready,0,1982,104,1982,30,20,3,56,662,66,4530,3,1,1,0.3667,0.1,0.0,0.1333,125.6667,17.6667,1,0.0066,758,0.3,0.5,2.0,0.9286,0.0,0.2321,0.0357,0.125,0.0357,0.0179,1,0,0,0,3,0.8667,0.0333,1.8333,0.0,1,2.2321,5576.4643
davidfantasy_mybatis-plus-generator-ui,davidfantasy,mybatis-plus-generator-ui,Java,Not Ready,0,1976,488,1976,30,20,20,100,2411,41,2260,5,1,1,0.2,0.0,0.1333,0.4,32.8,2.6667,4,0.0133,432,0.25,0.35,0.95,1.0,0.35,0.55,0.02,0.05,0.0,0.14,0,0,0,2,9,0.1333,0.2667,71.6,6.2857,5,5.92,31837.39
louislam_uptime-kuma,louislam,uptime-kuma,JavaScript,Production Ready,1,89111,8117,89111,30,20,20,100,38033,756,1837,0,1,1,0.1667,0.3,0.0,0.0,191.8,17.8333,26,0.0163,0,0.55,0.8,1.2,0.0,0.3,0.52,0.04,0.02,0.03,0.0,1,0,1,0,2,0.1333,0.1333,0.3636,0.3333,1,1.58,1872.74
jie65535_GrasscutterCommandGenerator,jie65535,GrasscutterCommandGenerator,C#,Not Ready,0,1993,245,1993,30,20,20,100,32000,15,1534,1,1,1,0.1,0.1,0.0667,0.0333,38.9667,6.0333,4,0.0196,6,0.75,0.1,2.25,1.0,0.85,0.0,0.0,0.02,0.0,0.97,1,0,0,0,2,0.3,0.3667,45.2667,8.5294,0,1.96,121737.34
outl1ne_nova-settings,outl1ne,nova-settings,PHP,Not Ready,0,298,108,298,30,20,20,61,2354,20,2527,30,1,1,0.1667,0.1,0.0,0.0333,46.4667,6.2333,11,0.0119,315,0.5,0.6,2.3,1.0,0.45,0.3115,0.0492,0.082,0.1639,0.0164,0,0,0,2,3,0.0,0.0333,19.7,33.5556,2,1.1148,10227.8361
fethica_FRadioPlayer,fethica,FRadioPlayer,Swift,Needs Improvements,1,298,65,298,30,20,20,62,1150,5,3144,0,1,1,0.1667,0.2667,0.0,0.1333,77.6667,10.6,2,0.0095,8,0.95,0.15,1.5,1.0,0.75,0.3226,0.0323,0.0161,0.129,0.2097,1,0,0,0,6,0.6667,0.5667,661.8421,1.4,1,3.2742,10776.1935
benedikt_mongoid-tree,benedikt,mongoid-tree,Ruby,Needs Improvements,1,300,66,300,30,20,20,21,420,0,5832,143,1,1,0.2667,0.3,0.0,0.1,46.5333,6.9333,5,0.0051,698,1.0,0.55,3.2,0.0,0.6,0.1905,0.0952,0.0476,0.4762,0.0,1,0,0,1,3,0.0333,0.0,196.3,134.25,1,1.5714,3137.4762
lavalink-devs_Lavalink,lavalink-devs,Lavalink,Kotlin,Needs Improvements,1,1885,905,1885,30,20,20,100,2668,17,3284,0,1,1,0.1,0.2333,0.0,0.2,43.4667,6.2667,9,0.0091,35,0.9,0.95,1.95,0.5,0.6,0.47,0.28,0.03,0.03,0.05,1,1,0,0,8,0.6333,0.3667,2.7222,3.0,2,4.41,3872.37
awizemann_harness,awizemann,harness,Swift,Production Ready,1,296,14,296,30,2,1,100,16181,1,71,2,1,1,0.3,0.2333,0.0,0.3667,360.5667,48.8333,1,0.4225,2,0.5,0.5,2.5,0.0,1.0,0.54,0.01,0.01,0.0,0.0,0,0,1,0,4,0.0667,0.3333,0.0,0.0,1,2.5,8609.9
lmj0011_save-on-device,lmj0011,save-on-device,Java,Needs Improvements,1,299,19,299,20,11,4,51,14206,3,1731,3,0,1,0.1,0.35,0.0,0.1,74.55,11.75,5,0.0116,866,0.7273,0.1818,2.6364,1.0,1.0,0.0196,0.0196,0.098,0.0392,0.451,0,0,0,2,7,0.6,0.4,27.75,7.25,2,3.7843,130331.5686
android_androidify,android,androidify,Kotlin,Needs Improvements,1,1962,305,1962,30,20,20,100,46544,19,430,1,1,1,0.3333,0.1333,0.0,0.0333,92.2,12.3,6,0.0698,41,0.7,0.25,0.25,1.0,0.4,0.24,0.03,0.06,0.15,0.04,1,0,1,0,10,0.0,0.0667,23.3571,4.5,2,5.26,11873.62
avelino_awesome-go,avelino,awesome-go,Go,Production Ready,1,178120,13406,178120,30,20,20,94,11773,189,4390,0,1,1,0.1333,0.9,0.0,0.1,74.5333,9.8,27,0.0068,0,0.7,0.25,0.25,0.0,0.6,0.0532,0.0426,0.0213,0.0638,0.5106,1,0,1,1,3,0.2,0.2,26.6429,0.0,3,2.0319,26510.1489
bannzai_Gecco,bannzai,Gecco,Swift,Not Ready,0,1885,167,1885,30,20,20,37,785,2,3832,4,1,1,0.1333,0.3,0.0,0.1333,41.5,5.2667,1,0.0078,2113,0.9,0.25,1.55,1.0,0.5,0.2432,0.0541,0.0541,0.1081,0.027,0,0,0,0,4,0.2333,0.0,711.7778,1.0,1,2.0541,18671.027
ardera_flutter-pi,ardera,flutter-pi,C,Not Ready,0,1974,196,1974,30,20,20,100,2179,121,2595,0,1,1,0.2667,0.4,0.0,0.0333,250.8333,32.9333,2,0.0116,163,0.25,0.75,2.8,1.0,0.6,0.36,0.03,0.03,0.02,0.0,1,1,0,0,3,0.3,0.0667,11.4,17.25,4,1.34,14221.29
laravel_dusk,laravel,dusk,PHP,Production Ready,1,1943,330,1943,30,20,20,94,107970,5,3507,1,1,1,0.2333,0.4,0.0667,0.0333,249.3333,21.9667,10,0.0086,10,0.8,0.65,2.75,1.0,0.85,0.3404,0.0426,0.0957,0.2872,0.0106,1,0,1,2,3,0.1,0.0333,38.3125,2.2941,2,1.5319,5032.3298
iptv-org_iptv,iptv-org,iptv,TypeScript,Production Ready,1,132886,7581,132886,30,20,20,100,1302622,58,2798,0,1,1,0.0667,0.1,0.0,0.0,475.6333,57.6667,8,0.0107,0,0.4,0.0,0.05,0.0,0.35,0.46,0.11,0.04,0.03,0.01,1,0,1,1,3,0.5,0.6667,0.0,0.2857,1,1.61,10413.7
izniburak_pdox,izniburak,pdox,PHP,Needs Improvements,1,299,99,299,30,20,20,15,196,19,4417,137,1,1,0.4667,0.2333,0.0333,0.0667,58.1667,8.4,6,0.0068,1578,0.65,0.1,1.9,1.0,0.5,0.2667,0.0667,0.0667,0.3333,0.0,1,0,0,1,1,0.3,0.3667,41.9231,8.4,1,0.5333,3814.4
wig-editor_wig,wig-editor,wig,Go,Needs Improvements,1,300,6,300,30,3,2,100,826,0,801,5,1,1,0.4667,0.0667,0.1,0.0,20.4667,3.2667,1,0.0375,27,1.0,0.6667,1.0,0.0,1.0,0.27,0.01,0.01,0.09,0.01,0,0,0,1,3,0.0,0.0,59.3333,0.0,1,1.54,5819.12
kartoza_docker-osm,kartoza,docker-osm,C,Production Ready,1,300,104,300,30,20,20,39,2688,17,4008,22,1,1,0.6667,0.4,0.1,0.4,206.5333,33.9,13,0.0075,508,0.75,0.55,2.15,0.8,0.7,0.1795,0.1026,0.2051,0.0256,0.0769,1,1,0,2,2,0.1333,0.0667,94.7333,20.0,4,0.7436,260561.0513
dotnet_aspnetcore,dotnet,aspnetcore,C#,Needs Improvements,1,38340,10888,38340,30,20,20,100,385380,4034,4508,0,1,1,0.4667,0.6,0.0333,0.0667,752.9333,57.9667,17,0.0067,0,0.05,0.65,0.7,0.0,0.25,0.0,0.0,0.04,0.12,0.0,1,1,0,0,3,0.0667,0.1667,0.0,0.0,1,1.74,13998.54
DesignPatternsPHP_DesignPatternsPHP,DesignPatternsPHP,DesignPatternsPHP,PHP,Production Ready,1,22186,4520,22186,30,20,20,100,6214,1,5440,0,1,1,0.5,0.1,0.0,0.5,74.6,10.2667,8,0.0055,526,0.95,0.2,1.15,0.0,0.6,0.48,0.02,0.01,0.22,0.13,1,0,0,0,3,0.0,0.0667,98.7895,43.5833,1,2.21,6382.09
thedotmack_claude-mem,thedotmack,claude-mem,JavaScript,Not Ready,0,87153,7538,87153,30,20,20,100,267889,237,316,0,1,1,0.2,0.0,0.0,0.0667,135.9,17.4333,1,0.0949,1,0.15,0.85,0.7,0.0,0.2,0.0,0.45,0.05,0.02,0.0,1,1,0,0,2,0.8,0.6333,0.0,0.0,2,1.38,12725.44
darlinghq_darling-dmg,darlinghq,darling-dmg,C++,Needs Improvements,1,300,51,300,30,20,20,69,248,22,4781,13,1,1,0.3,0.2333,0.0333,0.1667,82.9,11.2,12,0.0063,268,0.6,0.65,2.75,1.0,0.55,0.3623,0.029,0.0145,0.058,0.0,0,0,0,0,1,0.2,0.2333,25.6667,0.6364,1,0.9565,2915.9565
jaywcjlove_awesome-mac,jaywcjlove,awesome-mac,Swift,Needs Improvements,1,107785,8081,107785,30,20,20,45,47920,450,3648,0,1,1,0.0,0.9333,0.0,0.0333,207.6,15.8333,14,0.0082,0,0.35,0.7,0.45,0.0,0.2,0.0,0.1556,0.0889,0.0,0.0444,1,1,1,1,4,0.2667,0.7333,8.1429,0.0,0,0.8444,31493.8889
saagarjha_VirtualApple,saagarjha,VirtualApple,Swift,Not Ready,0,298,31,298,8,5,5,29,40,3,1694,25,1,1,0.375,0.375,0.0,0.125,109.75,14.625,3,0.0047,1167,0.4,0.6,3.8,1.0,0.4,0.4138,0.069,0.0345,0.0,0.0,0,0,0,0,3,0.0,0.25,1.0,9.0,1,1.2414,3574.4138
mcci-catena_arduino-lorawan,mcci-catena,arduino-lorawan,C++,Needs Improvements,1,299,57,299,30,20,20,100,293,31,3550,2,1,1,0.3333,0.2,0.0,0.0667,52.3667,5.9333,5,0.0085,100,0.5,0.45,1.75,1.0,0.6,0.69,0.02,0.01,0.04,0.0,1,0,0,0,2,0.1333,0.2667,0.6,18.25,2,1.71,2900.63
android_compose-samples,android,compose-samples,Kotlin,Not Ready,0,23307,5453,23307,30,20,20,100,201423,10,2481,0,1,1,0.2,0.2333,0.0,0.0333,47.7333,6.7333,9,0.0121,24,0.9,0.65,0.3,0.0,0.35,0.26,0.03,0.07,0.03,0.14,1,0,1,0,10,0.0667,0.1,30.3889,9.0,1,4.59,9681.4
tiddly-gittly_TidGi-Desktop,tiddly-gittly,TidGi-Desktop,TypeScript,Production Ready,1,1992,116,1992,30,20,20,100,58950,13,2222,1,1,1,0.5667,0.6333,0.3667,0.3333,4330.1333,573.8,3,0.0135,16,0.65,0.85,2.75,0.0,0.75,0.01,0.42,0.03,0.07,0.25,1,0,0,0,2,0.1667,0.0667,43.0,2.8,2,1.28,119092.57
JunkFood02_Seal,JunkFood02,Seal,Kotlin,Not Ready,0,27560,1285,27560,30,20,20,100,11542,694,1551,0,1,1,0.1,0.0,0.0,0.6333,519.4,47.6,3,0.0193,18,0.7,1.0,0.9,0.0,0.0,0.57,0.05,0.02,0.03,0.01,1,0,1,0,10,0.4,0.0,0.1429,0.0,1,5.76,5361.64
KronicDeth_intellij-elixir,KronicDeth,intellij-elixir,Kotlin,Needs Improvements,1,1898,164,1898,30,20,20,100,76564,642,4369,1,1,1,0.5,0.4333,0.1333,0.1667,502.3667,63.8,1,0.0069,1,0.35,0.65,2.15,0.7692,0.55,0.74,0.04,0.03,0.02,0.0,1,0,1,0,6,0.3333,0.3333,69.5714,13.5455,2,3.63,25914.66
donatj_CsvToMarkdownTable,donatj,CsvToMarkdownTable,TypeScript,Production Ready,1,300,47,300,30,12,20,29,1461,4,4319,12,1,1,0.1667,0.6,0.0,0.0,439.8667,27.8,2,0.0069,12,0.8333,0.1667,1.5833,1.0,0.7,0.1379,0.0345,0.1724,0.069,0.0,1,0,0,1,2,0.0,0.0333,100.6,0.9286,3,0.5517,8876.4483
postmodern_ruby-nmap,postmodern,ruby-nmap,Ruby,Production Ready,1,297,51,297,30,20,18,79,527,9,6088,38,1,1,0.1333,0.2667,0.0667,0.0667,43.5667,6.7,2,0.0049,182,1.0,0.1,0.95,0.0,0.5,0.3924,0.0127,0.0253,0.4684,0.0,1,0,0,1,4,0.1333,0.2333,0.05,1.4444,1,1.9747,2658.3291
RetroShare_RetroShare,RetroShare,RetroShare,C++,Not Ready,0,1996,322,1996,30,20,20,100,135561,358,4000,0,1,1,0.5,0.4333,0.0,0.0,229.7,30.0667,4,0.0075,5,0.5,0.55,3.7,0.6,0.35,0.01,0.01,0.02,0.0,0.0,1,0,0,0,4,0.3,0.0333,27.2,3.2857,2,2.11,9221.65
GuDaStudio_codexmcp,GuDaStudio,codexmcp,Python,Not Ready,0,1994,108,1994,30,20,10,13,2093,30,250,0,1,1,0.2667,0.0,0.0667,0.0667,34.9333,3.9,4,0.12,181,0.1,0.35,1.15,0.8333,0.6,0.2308,0.2308,0.0769,0.0,0.1538,0,0,0,1,2,0.0333,0.2333,23.0,0.6667,1,1.0,114255.1538
SwifQL_SwifQL,SwifQL,SwifQL,Swift,Production Ready,1,300,19,300,30,20,20,100,501,6,2771,200,1,1,0.2333,0.2667,0.1,0.0667,55.8667,9.2,6,0.0108,517,0.7,0.3,2.35,1.0,0.9,0.96,0.02,0.01,0.01,0.0,1,0,0,0,4,0.2333,0.6333,5.9286,6.1667,1,2.7,2849.59
projectsend_projectsend,projectsend,projectsend,PHP,Not Ready,0,1932,348,1932,30,20,20,100,18209,174,4507,0,1,1,0.3667,0.5,0.0667,0.0333,313.7333,38.8,3,0.0067,7,0.1,0.55,0.95,0.1111,0.1,0.58,0.02,0.01,0.0,0.22,1,0,0,0,4,0.8,0.7667,1.5,12.5,2,2.94,6605.13
manisandro_gImageReader,manisandro,gImageReader,C++,Not Ready,0,1967,219,1967,30,20,20,100,12292,69,4537,4,1,1,0.1333,0.1,0.0333,0.0,62.2333,7.5667,6,0.0066,179,0.35,0.25,1.0,0.9231,0.5,0.0,0.1,0.02,0.01,0.68,1,0,0,0,3,0.4,0.0,22.4286,0.5,1,1.62,6328.23
iluwatar_java-design-patterns,iluwatar,java-design-patterns,Java,Production Ready,1,94224,27365,94224,30,20,20,100,47722,145,4356,0,1,1,0.3333,0.7,0.0667,0.3333,421.6,39.1667,10,0.0069,9,0.7,0.5,1.8,0.6667,0.15,0.45,0.07,0.09,0.11,0.09,1,0,1,6,9,0.5333,0.0,135.0714,12.0,1,4.57,9405.97
KSDaemon_wampy.js,KSDaemon,wampy.js,TypeScript,Production Ready,1,300,43,300,30,20,20,65,7602,9,4546,12,1,1,0.4667,0.9333,0.0,0.0333,815.5,52.8,2,0.0066,12,0.7,0.45,1.8,1.0,0.5,0.3846,0.0923,0.0769,0.2154,0.0308,1,1,1,1,3,0.0333,0.0,88.7857,0.0,2,1.0615,17824.5692
i486_VxKex,i486,VxKex,C,Not Ready,0,1985,168,1985,30,20,5,100,26722,140,722,0,0,1,0.2,0.5,0.0333,0.2333,81.1,10.9667,2,0.0416,69,0.3,0.6,2.35,0.0,0.2,0.13,0.0,0.01,0.0,0.03,1,0,0,0,2,0.5333,0.1333,5.6667,48.0,1,1.41,175094.81
php-school_cli-menu,php-school,cli-menu,PHP,Production Ready,1,1947,106,1947,30,20,20,100,915,8,3920,7,1,1,0.2,0.2333,0.0,0.0333,50.6667,7.2667,6,0.0077,336,0.7,0.25,4.4,1.0,0.9,0.77,0.03,0.02,0.13,0.0,1,0,0,1,3,0.1,0.0,131.0714,0.0,1,1.45,3331.34
igraph_igraph,igraph,igraph,C,Needs Improvements,1,1993,446,1993,30,20,20,100,138146,277,4880,0,1,1,0.2667,0.3,0.1333,0.0333,153.9667,15.0,7,0.0061,12,0.6,0.55,4.65,0.75,0.45,0.02,0.03,0.04,0.0,0.07,1,0,1,0,2,0.1667,0.0333,3.1667,0.4444,3,1.01,7577.96
njsmith_posy,njsmith,posy,Rust,Production Ready,1,300,19,300,30,16,13,85,569,14,1856,50,0,0,0.8,0.7667,0.0,0.0,54.9667,6.0667,4,0.0162,901,0.25,0.375,2.5,1.0,0.7692,0.6235,0.0471,0.0706,0.0706,0.0235,1,0,0,2,6,0.6667,0.8667,29.25,0.2,3,2.4588,7090.7765
ZeppelinMC_Zeppelin,ZeppelinMC,Zeppelin,Go,Needs Improvements,1,300,25,300,2,11,20,100,5957,5,1074,0,1,1,0.5,0.5,0.0,0.0,19.0,4.0,1,0.0019,557,0.5455,0.3636,1.7273,1.0,0.35,0.96,0.01,0.0,0.0,0.0,1,0,0,1,4,0.0,0.0,54.8333,0.7143,1,3.26,2531.09
git-tfs_git-tfs,git-tfs,git-tfs,C#,Not Ready,0,1992,734,1992,30,20,20,100,10833,130,6206,2,1,1,0.3667,0.0667,0.1667,0.0,101.6,13.6,4,0.0048,802,0.1,0.7,1.5,1.0,0.1,0.06,0.03,0.03,0.03,0.02,0,0,1,0,3,0.0,0.0,20.0,12.5,2,1.65,3782.72
shelby_shelby-quickstart,shelby,shelby-quickstart,TypeScript,Not Ready,0,300,199,300,30,7,20,30,39965,24,283,0,1,1,0.1667,0.2,0.0333,0.1,39.4,6.1,2,0.106,147,0.0,0.1429,1.0,1.0,0.0,0.5333,0.0667,0.1,0.0,0.1,0,0,0,1,3,0.6667,0.4333,0.0,0.0,1,1.4333,1383071.3
dotnet_roslyn,dotnet,roslyn,C#,Needs Improvements,1,20544,4291,20544,30,20,20,100,2644246,6250,4202,0,1,1,0.5,0.4,0.0667,0.1667,817.7,94.7667,16,0.0071,0,0.25,0.85,1.25,0.0,0.45,0.0,0.03,0.04,0.08,0.0,1,1,1,0,4,0.0667,0.3,2.6,0.0,1,1.82,12730.57
quicknir_wise_enum,quicknir,wise_enum,C,Not Ready,0,299,27,299,30,20,20,22,136,14,3269,68,1,1,0.3333,0.3333,0.0667,0.1667,74.3333,10.4,10,0.0092,1971,0.55,0.35,2.65,1.0,0.55,0.1364,0.0909,0.1364,0.2273,0.0,1,0,0,0,1,0.3,0.2,118.3636,55.1818,2,0.4091,3202.3636
microsoft_markitdown,microsoft,markitdown,Python,Production Ready,1,165707,11855,165707,30,20,20,100,4286,836,607,0,1,1,0.6,0.4,0.2667,0.3667,298.7,42.5667,18,0.0494,48,0.55,0.3,0.7,0.0,0.0,0.37,0.08,0.08,0.37,0.11,1,1,0,4,7,0.0,0.5,2.9091,0.0,1,3.43,193976.07
elastic_elasticsearch-ruby,elastic,elasticsearch-ruby,Ruby,Needs Improvements,1,1978,617,1978,30,20,20,100,19473,16,4820,0,1,1,0.1667,0.2667,0.0,0.2,137.9,16.8667,2,0.0062,3,0.85,0.75,2.5,0.6667,0.75,0.01,0.65,0.05,0.06,0.0,1,1,1,2,5,0.0,0.0,84.5882,0.0,2,2.31,11842.32
jaredwray_cacheable,jaredwray,cacheable,TypeScript,Production Ready,1,1996,203,1996,30,20,20,100,4880,1,4846,0,1,1,0.5667,0.5667,0.2,0.3667,1476.2,182.8333,1,0.0062,5,0.95,0.75,1.95,0.0,1.0,0.15,0.14,0.08,0.43,0.0,1,1,1,6,4,0.3,0.3,2.5789,0.0,1,2.26,6980.26
pcccccc_AngelLive,pcccccc,AngelLive,Swift,Production Ready,1,1930,94,1930,30,20,8,100,165131,2,1106,0,1,0,0.6,0.2667,0.0667,0.0667,380.7667,37.2333,2,0.0271,0,0.95,0.1,1.65,0.0,0.5,0.88,0.01,0.03,0.01,0.01,0,0,0,0,7,0.1333,0.3667,1.6316,1.75,1,4.82,9679.93
clastix_kamaji,clastix,kamaji,Go,Production Ready,1,1980,206,1980,30,20,20,100,7716,23,1670,0,1,1,0.5333,0.5667,0.2,0.4667,501.0,47.6333,9,0.018,3,0.55,0.95,1.4,0.0,0.65,0.24,0.04,0.04,0.07,0.04,1,0,0,0,3,0.2667,0.0,1.9091,0.5385,1,2.02,19038.21
mxgmn_WaveFunctionCollapse,mxgmn,WaveFunctionCollapse,C#,Not Ready,0,25187,1347,25187,30,20,20,100,31117,9,3573,0,1,1,0.1333,0.1,0.0667,0.2333,38.1,5.4667,7,0.0084,114,0.6,0.35,2.35,0.75,0.4,0.05,0.02,0.01,0.0,0.87,0,0,0,0,2,0.3,0.4667,30.0833,2.375,1,0.99,288910.38
dswd_vpncloud,dswd,vpncloud,Rust,Not Ready,0,1976,168,1976,30,20,20,83,1651,43,3885,3,1,1,0.2667,0.3,0.0,0.0,100.2333,9.2333,4,0.0077,844,0.1,0.8,0.6,0.5556,0.0,0.3735,0.0241,0.0843,0.0723,0.0,1,1,0,1,3,0.2667,0.2,109.0,0.0,3,1.6386,6475.2048
nguyenphuc22_Design-Patterns,nguyenphuc22,Design-Patterns,Java,Needs Improvements,1,300,111,300,30,8,4,100,5377,0,1871,1,1,1,0.1,0.2,0.1667,0.4333,58.8667,7.6,2,0.016,180,1.0,1.0,0.0,0.0,1.0,0.0,0.46,0.02,0.0,0.11,1,0,1,1,3,0.4,0.6,0.0,0.0,1,1.75,28337.76
jeremyevans_rodauth,jeremyevans,rodauth,Ruby,Production Ready,1,1916,107,1916,30,20,20,100,5468,0,3988,1,1,1,0.2,0.6333,0.0,0.1,244.8667,36.6333,6,0.0075,1,1.0,0.7,2.5,0.0,0.8,0.01,0.0,0.01,0.0,0.0,1,0,0,0,2,0.1667,0.1333,2.7,2.1875,1,1.44,4336.5
